,norisk d* len,norisk d* t,opp path d* len,opp ctr d*,opp d* t,av path d* len,av ctr d*,av d* t,med path d* len,med ctr d*,med d* t,norisk a* len,norisk a* t,opp path a* len,opp ctr a*,opp a* t,av path a* len,av ctr a*,av a* t,med path a* len,med ctr a*,med a* t
0,72,0.139853852,72,11,0.5226266480000001,116,0,0.507335066,82,0,0.4006094470000001,72,0.07245330599999988,99,7,0.7472628759999997,119,3,0.6561854290000002,103,9,1.3835314079999996
1,16,0.004583063000000109,16,5,0.17656804699999995,20,2,0.048430591999999884,20,2,0.03568040800000016,16,0.001880253000000387,22,4,0.009871645000000484,25,3,0.004916729999999703,25,3,0.008480787999999961
2,,0.011220426999999589,,1,0.19973741500000042,,2,0.26454679300000006,,2,0.05657141799999987,,0.0500212840000005,,17,0.5872890130000004,,9,1.240828337,,15,0.8067584319999996
3,75,0.06785567700000072,75,14,5.012583058999999,,1,0.29996759500000003,,1,0.30493614299999905,75,0.06598575199999956,130,15,0.8358142480000001,295,22,3.477428989,91,6,0.32533964300000306
4,19,0.002221166999998303,19,2,0.014275796999999812,19,0,0.006323031000000867,19,0,0.005636388999999298,19,0.005283705000000083,19,0,0.007056850999997977,19,0,0.24217226099999678,19,0,0.0058530919999988384
5,50,0.03152640699999765,50,3,0.1536952609999993,54,1,0.06772446000000087,54,1,0.17633863100000013,50,0.01841413400000036,54,2,0.039733739999999074,50,0,0.0335168440000011,50,0,0.02715515199999885
6,28,0.006137800000001192,28,0,0.007569501000002532,30,0,0.36952159099999804,30,0,0.02896026500000204,28,0.00809978099999853,31,1,0.024061129999999764,30,0,0.010183515999997894,30,0,0.011592451000002058
7,21,0.0017704450000017857,21,2,0.01051413500000109,21,1,0.1639775020000016,21,1,0.018210088000000013,21,0.0013088170000017385,37,6,0.003029426000001223,21,0,0.1020378639999997,21,0,0.0033004789999999673
8,14,0.004260493000000309,14,0,0.005007694999999757,14,0,0.0042385050000000035,14,0,0.00385637600000166,14,0.002874476999998876,15,1,0.006024091999996983,16,0,0.02100059500000029,16,0,0.012194816000000941
9,8,0.0007781810000011546,8,0,0.0014903730000028759,8,0,0.0005318000000009704,8,0,0.00045527199999995105,8,0.0003965629999989062,8,0,0.00043982700000100294,8,0,0.1913515970000006,8,0,0.0007190829999998982
10,52,0.017895595000002373,52,2,0.2088607549999999,82,2,0.1362922200000014,58,0,0.10852723500000039,52,0.03303646099999824,53,1,0.06603327599999886,60,0,0.050907354999999654,60,0,0.05439249799999857
11,4,0.0001733379999997453,4,0,0.0001512969999986069,4,0,0.004597335999999785,4,0,0.002014300999999108,4,9.934699999902818e-05,4,0,0.00010105400000171016,4,0,0.02108753099999916,4,0,0.000489858999998205
12,43,0.012197459999999438,43,0,0.016874306000001837,65,3,0.43802648799999844,65,3,0.3573374790000017,43,0.04272835500000127,46,3,0.15793606400000115,65,0,0.07152844099999811,50,1,0.1481958359999993
13,18,0.002081650999997464,,4,0.2373066090000009,36,3,0.17812741499999873,18,0,0.03587175899999906,18,0.001944562999998567,34,6,0.013120992999997583,18,0,0.03899111899999852,18,0,0.002525656999999626
14,26,0.00515522899999965,26,0,0.005849215000001351,78,3,0.5680739060000022,38,2,0.13818462900000128,26,0.006949359000000044,26,0,0.012078315000000117,78,0,0.046677905000002795,28,0,0.011862664999998884
15,28,0.008036414999999408,28,6,0.031984747999999286,66,0,0.3180530079999997,42,0,0.08182694400000301,28,0.01032774400000136,,6,0.04921581700000033,34,2,0.2873076250000004,35,3,0.03831907400000034
16,25,0.0056790609999985975,25,0,0.0061984610000003215,25,0,0.005882704000001127,25,0,0.007081342999999407,25,0.0110379000000016,28,1,0.020619840000001943,25,0,0.00827308699999918,25,0,0.00982907200000227
17,39,0.007633531000003302,39,8,0.28321780699999977,87,0,0.42398719899999904,,1,0.05411471600000084,39,0.005373369999997379,46,5,0.03298467100000124,40,1,0.02054381099999958,42,3,0.02510299300000085
18,47,0.01680771400000225,47,5,0.28992133999999936,49,2,0.15415864799999923,49,2,0.1068865960000025,47,0.05943023100000033,59,6,0.1012954540000024,49,0,0.018000177999997646,49,0,0.09843409600000186
19,21,0.005799848999998858,21,2,0.19503397600000127,21,1,0.01328286099999687,21,1,0.012813007999998405,21,0.0048464090000024385,21,0,0.005448656999998747,21,0,0.08304773100000062,21,0,0.011245842999997535
20,29,0.014852148999999315,29,1,0.025487994000002345,29,1,0.008190747000000442,29,1,0.02587464300000164,29,0.017307116999997874,30,1,0.04066979299999929,29,0,0.11562684499999776,29,0,0.038985323000002126
21,38,0.034912375000001106,,2,0.03350074500000133,40,0,0.15549402999999984,40,0,0.03663404599999964,38,0.032599190000002665,56,8,0.1550396350000014,42,2,0.3897545429999987,49,5,0.2810304929999994
22,23,0.003681516000000329,23,2,0.20912878400000068,87,0,0.109341766,29,0,0.008181133000000784,23,0.005939292000000762,26,1,0.011950791000000294,89,0,0.03517597500000136,32,1,0.022067121999999273
23,16,0.0017733830000032924,16,4,0.024760393000001102,,2,0.0012568210000019064,,1,0.0033632270000012454,16,0.0018766449999993995,20,4,0.0013838100000000964,45,3,0.8699651049999986,20,4,0.0034936869999988573
24,36,0.006917653000002133,36,3,0.1856066580000011,50,3,0.29325114599999935,50,3,0.07037110699999971,36,0.021013323000001805,36,0,0.026679473000001508,50,0,0.26724960399999986,53,3,0.13958309300000238
25,75,0.04097882800000008,75,7,1.0763243930000002,85,0,0.07692765699999882,85,0,0.08123958200000203,75,0.07113275300000055,95,6,0.4313647159999974,87,0,0.12509095200000075,76,1,0.20950326100000183
26,38,0.015426168999994161,38,2,0.2184558989999985,40,0,0.12003137199999969,40,0,0.059426496000000384,38,0.020841103999998722,42,2,0.06683003699999546,45,1,0.15676512299999956,40,0,0.025651149999994516
