,norisk d* len,norisk d* t,opp path d* len,opp ctr d*,opp d* t,av path d* len,av ctr d*,av d* t,med path d* len,med ctr d*,med d* t,norisk a* len,norisk a* t,opp path a* len,opp ctr a*,opp a* t,av path a* len,av ctr a*,av a* t,med path a* len,med ctr a*,med a* t
0,78,0.07054132300000004,78,10,0.6475605170000001,116,1,0.6962769559999997,116,1,0.38236331000000057,78,0.1507857709999998,87,5,0.7769587790000001,101,1,0.3967498709999999,92,4,0.6346806850000002
1,,0.4484427540000002,,1,0.17428230300000003,,1,1.3427929939999999,,1,0.4869546729999996,,6.164900000094065e-05,,1,0.11800971599999954,,1,0.11084489599999969,,1,0.13871672700000026
2,10,0.0008298429999999968,10,0,0.0008497309999988545,22,0,1.4924131870000004,22,0,0.016125241999999318,10,0.0009727840000000043,10,0,0.0011367250000002826,10,0,0.005745952999999915,10,0,0.0015730069999992935
3,86,0.10817205799999918,86,4,0.939379691000001,102,2,0.23954280399999917,102,2,0.2639720279999995,86,0.14192131100000083,103,9,1.7354336019999987,102,0,0.25502686000000097,98,6,0.4650044040000001
4,44,0.020017832000000624,44,4,0.49286090600000065,48,2,1.8602109139999996,48,2,0.36552515600000035,44,0.01695058900000035,50,4,0.10855410199999938,54,4,0.10275726400000096,54,4,0.15425361399999815
5,90,0.17766880799999996,,1,0.15745007700000002,118,0,1.9223786299999972,118,0,1.3540151939999987,94,0.16017257300000054,117,11,1.3515352549999982,120,4,1.0488553690000018,134,8,1.8089675760000006
6,103,0.26878724600000226,109,3,0.1703417430000016,115,0,1.1652078880000012,115,0,0.7002555000000008,103,0.18195346700000314,132,11,1.6220517250000022,131,4,2.4998018440000003,127,10,4.104276313
7,17,0.0040729899999973895,17,1,0.012234777000003305,73,3,1.6703535209999956,17,2,0.0938767399999989,17,0.0032024439999958076,24,5,0.015961353000001566,28,1,1.3042261470000014,18,1,0.037258276999999396
8,74,0.21812503099999958,74,5,0.9232873299999937,114,2,1.4954475050000013,88,2,0.5411168139999987,78,0.1260757510000019,,5,0.3400852850000007,117,1,0.6940228109999964,102,8,0.3747357789999981
9,60,0.06524126600000102,,2,0.11843692200000078,78,0,0.13868952600000028,78,0,0.15669036300000272,62,0.11393462699999901,91,9,0.3686435219999993,80,0,0.12490904399999891,89,7,0.27360671999999653
10,85,0.11290168700000436,85,7,0.5798727029999995,133,0,0.4810174389999986,115,1,0.4432825539999996,85,0.14040762100000137,89,4,0.8766317979999982,135,0,0.960699855999998,90,1,0.26933897900000403
11,45,0.0358842260000003,45,1,0.06368582000000345,51,0,0.05436345600000436,51,0,0.04909707299999866,45,0.06708465499999505,45,0,0.07726567899999992,51,0,1.079985078,50,3,0.3636198099999959
12,53,0.02352380399999987,,24,2.2337836600000003,113,0,0.30838856600000497,,1,0.1537110229999996,53,0.030381516000005604,,4,0.058679589999997006,113,0,0.591037949000004,,4,0.10408689900000212
13,78,0.15514928199999645,78,8,0.7740090169999974,92,2,1.8288987960000043,82,1,0.738322740000001,78,0.24029224499999913,82,2,0.6870844030000001,114,0,0.38585930200000007,82,2,0.9027921859999992
14,41,0.034618830999995964,41,0,0.039590162000003204,53,0,0.0861204749999942,53,0,0.08349563699999862,41,0.05368156100000476,44,3,0.2146299829999947,53,0,1.010903417999998,41,0,0.10529391499999008
15,92,0.1636055879999958,92,28,1.4322238580000004,154,2,0.6258973999999995,116,2,0.5248656179999927,92,0.1918966500000039,113,9,1.664104480000006,164,0,0.6734657829999975,106,6,1.0975393679999996
16,61,0.06401016699999218,61,6,1.1686412509999968,77,1,0.10088778799999432,77,1,0.13428138599999784,61,0.13712920999999767,63,2,0.1940225080000033,79,0,1.4329850539999995,62,1,0.22272420100000545
17,72,0.07868455999999924,,8,0.9991728739999957,126,1,0.7120377759999883,126,1,0.5452542700000009,72,0.09469616100000167,84,6,0.1859910999999954,134,0,0.7409508249999988,84,6,0.3031662509999933
18,31,0.02407801699999368,31,4,0.30418240900000626,33,0,0.009177917999991791,33,0,0.008918231999999193,31,0.008861637999999061,32,1,0.011207208000001856,33,0,0.6177644859999987,33,0,0.020370288000009396
19,31,0.007871264000002043,,1,0.009282474000002594,,1,1.8911818720000042,31,1,0.10397387999999808,31,0.012804737000010391,39,2,0.039604167999996776,37,2,0.018694981999999527,36,1,0.03781197499999678
20,18,0.0022088679999967553,18,0,0.0053055780000050845,18,0,0.0035448869999896715,18,0,0.0033549119999918275,18,0.003356117999999242,31,5,0.0076008959999995795,18,0,0.7279773180000007,18,0,0.007871351000005689
21,55,0.0632821760000013,55,1,0.12447475700000155,63,0,0.03635174400000096,63,0,0.03769704799999829,55,0.11003069499999185,55,0,0.13904402899999013,63,0,0.9716344449999923,57,0,0.20932767000000752
22,87,0.05664182399999618,,3,0.5873582609999914,105,0,1.5075056290000077,87,0,0.18509526699999412,87,0.08298782699999663,102,7,0.31222746299999926,105,0,0.17800613899999007,87,0,0.11566811100000507
23,60,0.10481144000000597,,13,1.2497571549999975,76,1,0.08354231200000584,76,1,0.11102309100000696,60,0.09045007999999655,85,11,0.7114723960000049,64,4,4.6843129459999915,80,8,0.7040343620000016
24,18,0.0034264330000013388,18,3,0.18504112399999428,32,0,1.4548735119999918,32,0,0.055714688000009005,18,0.00228465499999686,18,0,0.0029290010000124767,34,0,0.003535548000002109,20,2,0.007721840000002089
25,106,0.13999965300000383,,2,0.12979004200001043,146,0,2.1673670079999994,146,0,0.9570640219999973,106,0.2556274949999988,127,13,4.877024386000002,148,0,0.6324482250000045,136,6,3.284862911999994
26,44,0.04329003999998804,44,8,0.5074137410000077,56,1,0.09514838799999836,46,0,0.10570624199999656,44,0.0649737819999956,44,0,0.08589653999999314,56,0,1.0633946119999962,46,0,0.12714855299999783
27,19,0.005324177999995072,19,1,0.015734077999994156,81,2,0.11372054000000276,,1,0.05699380400000109,21,0.0037645599999933665,22,1,0.004005883999994353,81,0,0.891517917999991,21,0,0.006227917000003913
28,69,0.031937805999987745,69,2,0.1150831379999886,109,0,0.20184535299999595,93,0,0.14421813799999939,69,0.09880366800000218,70,1,0.14004495799999006,111,0,0.4230462370000083,69,0,0.17261341500000071
29,99,0.3000593600000059,99,14,1.0600792559999945,,3,1.925028501,101,0,1.2915697460000075,99,0.1638587919999992,111,4,0.8267542399999996,113,6,5.173432266000006,113,6,2.4297531400000025
30,23,0.0077403129999993325,23,3,0.3620599350000049,45,1,1.969567421000022,25,1,0.14002594400000135,23,0.009901013999979114,23,0,0.012999920999988035,25,0,0.010165599999993447,25,0,0.014678960999987112
31,24,0.006163187000026937,24,0,0.008809756000005109,70,0,0.04358625599999755,24,0,0.012887801999994508,24,0.009905830999997534,29,3,0.024797737000000097,70,0,0.06681794200000013,26,0,0.01908822699999746
32,26,0.005498828000014555,26,4,0.2892616290000092,,4,0.1688714569999945,26,1,0.028385127999996485,26,0.009555282000007992,26,0,0.011277908000010939,51,3,3.805164564000023,26,0,0.025514552000004187
