,Base D* Path Length,Base D* Time,Opportunistic D* Path Length,Opportunistic D* # Replans,Opportunistic D* Time,Risk-Averse D* Path Length,Risk-Averse D* # Replans,Risk-Averse D* Time,Moderate Aversion D* Path Length,Moderate Aversion D* # Replans,Moderate Aversion D* Time,Base A* Path Length,Base A* Time,Opportunistic A* Path Length,Opportunistic A* # Replans,Opportunistic A* Time,Risk-Averse A* Path Length,Risk-Averse A* # Replans,Risk-Averse A* Time,Moderate Aversion A* Path Length,Moderate Aversion A* # Replans,Moderate Aversion A* Time
0,41,0.015924037999999974,,,,41,1,0.023892052000000108,41,1,0.02289316600000002,41,0.029706467000000014,67,10,0.1950130619999999,43,0,0.033098092999999995,43,0,0.05879973399999994
1,20,0.0026058620000000143,,,,20,0,0.01678537999999996,20,0,0.007504031000000078,20,0.0009697709999998416,35,7,0.007472525000000063,32,4,0.008752313000000012,32,4,0.006554651000000078
2,51,0.04333062099999996,51,12,1.3556121059999997,59,1,0.06435294699999972,59,1,0.07302535200000015,51,0.10187500699999985,60,3,0.18912569899999987,63,0,0.2418277729999998,55,0,0.1715597579999999
3,40,0.029552885000000195,40,3,0.3005122200000008,50,1,0.04514446700000008,40,1,0.06446818299999979,40,0.03790328899999995,40,0,0.056959362000000624,40,0,0.34226840400000036,41,1,0.10779601000000039
4,29,0.010806416999999513,29,4,0.02459065700000007,33,0,0.0891149139999996,33,0,0.038467902999999914,29,0.019603108999999286,33,4,0.06650879600000081,34,5,0.5372221189999999,34,5,0.050869951000000135
5,10,0.0008206240000001586,10,0,0.0007984969999998981,12,0,0.0008379979999997289,12,0,0.0008315740000002236,10,0.0008448220000003559,10,0,0.0013427320000003462,12,0,0.0009468510000001373,12,0,0.0009785670000006519
6,44,0.016913884000000046,44,2,0.07618088300000014,,,,,,,44,0.04158999299999966,51,3,0.14412346000000031,48,2,0.12190665700000025,48,2,0.12463545299999979
7,33,0.018459244999999846,33,6,0.26962100300000014,33,0,0.017830406999999937,33,0,0.017671310999999967,33,0.021341575000000113,33,0,0.028930455000000244,33,0,0.026894890000000338,33,0,0.03439505399999998
8,20,0.008261746999999708,20,0,0.008742325999999245,74,0,0.17615162999999967,20,0,0.031911709000000954,20,0.0091028710000014,20,0,0.010502698999999893,74,0,0.22497646599999932,20,0,0.018529498000001254
9,52,0.017651466000000227,52,5,0.4959560439999997,56,0,0.5124911140000012,56,0,0.2993141969999993,52,0.028824299000000053,84,14,0.324550232,65,5,0.2559649509999993,74,8,0.3242236070000004
10,57,0.039846571999998304,63,10,0.6845665920000013,75,2,0.3599637259999984,75,2,0.28428529299999994,57,0.0719034660000002,73,6,0.3228072959999988,75,0,0.09332963800000016,67,2,0.29576369599999985
11,50,0.05012042699999952,,,,56,1,0.1352644009999988,56,1,0.2993957890000001,50,0.031424871000000465,65,7,0.1658799009999985,58,0,0.04139740000000103,52,2,0.11301345100000049
12,28,0.004526880999998539,28,1,0.01867394599999983,38,0,0.012907499000000655,38,0,0.013161451000000213,28,0.017194189999999665,29,1,0.02287258099999967,38,0,0.022853640999999314,32,0,0.02510843000000129
13,23,0.0075791219999992165,23,2,0.23046397399999918,23,1,0.011105439000001383,23,1,0.011236309000000944,23,0.006671004999999397,23,0,0.009107999000001143,23,0,0.004219271000000191,23,0,0.004658910999999932
14,46,0.06835850300000068,46,12,0.40807559899999823,84,0,0.1430980220000002,46,0,0.10728999099999825,46,0.0682502910000018,50,4,0.2737682260000014,84,0,0.1359905810000015,52,2,0.22665164700000062
15,17,0.0023345739999989235,17,0,0.003146381000000531,25,0,0.009688772000000512,17,0,0.009859070000000969,17,0.0020697179999977777,17,0,0.0021127129999989336,28,5,0.8569805599999967,17,0,0.004919350000001543
16,25,0.00583354599999808,,,,47,0,0.013206348999997175,47,0,0.013580264999998093,25,0.010819577999999552,29,4,0.01345446299999864,29,4,0.2807861080000009,29,4,0.035070355999998526
17,34,0.008059536999997619,,,,34,1,0.19930641400000226,34,1,0.057421607999998514,34,0.0155390699999991,42,4,0.01636586700000109,34,0,0.010625630999999913,40,2,0.021442234000002003
