,Base A* Path Length,Base A* Time,Opportunistic A* Path Length,Opportunistic A* # Replans,Opportunistic A* Time,Risk-Averse A* Path Length,Risk-Averse A* # Replans,Risk-Averse A* Time,Moderate Aversion A* Path Length,Moderate Aversion A* # Replans,Moderate Aversion A* Time
0,30,0.022808185000000036,30,0,0.06019421600000008,40,0,0.03248449600000003,30,0,0.06031879200000001
1,22,0.02560772500000008,28,4,0.10354039100000001,28,4,1.4163008209999999,28,4,0.1032485430000003
2,51,0.10399440199999965,66,11,1.0752812929999997,84,1,0.4383520780000003,66,11,1.0160917889999999
3,30,0.028592211999999506,58,6,0.0598611619999998,32,0,0.3132832710000004,57,5,0.06304041600000065
4,26,0.033215038000000696,,,,30,0,0.02691696900000018,,,
5,25,0.011421098999999657,28,3,0.027647514999999956,25,0,0.010282533999999899,28,3,0.024899051000000227
6,57,0.09398165500000033,86,13,1.417672358,85,8,0.8154765150000003,85,12,1.687076128000001
7,,0.09837482700000066,,,,,,,,,
8,48,0.09558921799999887,62,4,0.6332775179999999,56,6,1.1122805370000002,50,2,0.3152516460000001
9,18,0.022742875000000495,20,2,0.04602824500000047,24,0,0.030996688000000105,20,2,0.04121910399999962
10,31,0.041493420000000114,54,11,0.45540681299999974,39,0,0.05676899400000046,54,11,0.4189504470000003
11,36,0.07986507099999685,72,14,0.4516767779999995,68,8,0.6479952899999972,67,13,0.5349812780000001
12,7,0.0019891259999980093,7,0,0.0044782850000011365,13,0,0.004488629000000799,7,0,0.0031566729999994436
13,,3.125599999975748e-05,,,,,,,,,
14,8,0.0010504309999994632,8,0,0.0010727639999998928,8,0,0.0010664510000033545,8,0,0.0010657250000001284
15,5,0.000536261000000593,5,0,0.0006723400000012703,5,0,0.24176232900000016,5,0,0.0015115570000006073
16,28,0.0292433009999975,46,10,0.11303907100000288,28,0,0.03367004499999737,35,5,0.047849948999999725
17,19,0.010820658000000094,19,0,0.02585654199999965,19,0,0.3355664539999985,19,0,0.03046888000000081
18,48,0.059960623000002045,71,13,0.7942911400000021,50,0,0.455012760999999,70,12,0.8520715130000021
19,34,0.01562773499999892,40,2,0.057130252000000326,36,0,0.25954873299999903,40,2,0.06636086299999988
20,24,0.01329126700000316,55,13,0.1910988499999995,24,0,0.008700578999999209,53,11,0.1470267180000029
21,5,0.00014535900000112179,6,1,0.0030166469999990397,6,1,0.010585806000001696,6,1,0.0016926999999995473
22,47,0.03569786399999941,83,16,0.726211542999998,63,4,0.24851773600000016,77,14,0.5922805449999977
23,44,0.09636026899999806,54,4,0.3970551130000004,68,4,1.5117277210000033,54,4,0.4049867760000012
24,71,0.04540611000000183,,,,,,,,,
25,45,0.04588474800000242,,,,57,0,0.3505194550000006,,,
26,14,0.0026880460000029416,14,0,0.006313834000000185,16,0,0.00887324300000003,14,0,0.007053043999999176
