,Base D* Path Length,Base D* Time,Opportunistic D* Path Length,Opportunistic D* # Replans,Opportunistic D* Time,Risk-Averse D* Path Length,Risk-Averse D* # Replans,Risk-Averse D* Time,Moderate Aversion D* Path Length,Moderate Aversion D* # Replans,Moderate Aversion D* Time,Base A* Path Length,Base A* Time,Opportunistic A* Path Length,Opportunistic A* # Replans,Opportunistic A* Time,Risk-Averse A* Path Length,Risk-Averse A* # Replans,Risk-Averse A* Time,Moderate Aversion A* Path Length,Moderate Aversion A* # Replans,Moderate Aversion A* Time
0,59,0.100889487,59,7,0.378847963,,,,,,,59,0.03840336999999994,76,9,0.47667657399999985,71,6,0.2404512969999999,75,8,0.522969051
1,7,0.0007180479999999712,7,0,0.0006912740000002415,7,0,0.0006896530000002343,7,0,0.0007181839999996775,7,0.0005613380000002444,7,0,0.0005773350000000121,7,0,0.0005800910000002268,7,0,0.0005726870000000162
2,63,0.05804612099999984,63,2,0.3666640270000001,,,,81,3,3.6187903940000004,63,0.11758962800000017,71,6,0.4847298050000006,77,4,0.6369748909999995,63,0,0.1838650399999988
3,76,0.04253817700000084,76,14,1.6885760660000013,114,1,0.16139918700000067,98,0,0.1547072879999991,76,0.08962152400000001,,,,119,1,0.5279312880000013,79,1,0.17105364000000023
4,,0.18733281499999954,,,,,,,,,,,8.908300000065594e-05,,,,,,,,,
5,40,0.01665964800000097,40,15,1.0049315509999985,80,1,0.06163585200000199,44,0,0.03285241600000077,40,0.022389140000001362,46,4,0.0755854929999984,124,10,1.6257571040000016,48,4,0.13008062899999828
6,48,0.028954510000001932,48,3,0.2249914120000014,52,1,0.03711395899999914,52,1,0.04016122600000216,48,0.06616975100000033,55,3,0.2066325760000005,52,0,0.08955935299999851,52,0,0.10838060600000077
7,52,0.02054141700000045,52,3,0.24923756299999766,82,2,0.07367982700000297,82,2,0.08004659499999889,52,0.04693863399999998,57,5,0.2798897800000013,55,3,0.4740523120000013,54,2,0.1517423089999994
8,41,0.014225693000000206,41,12,0.5303228840000003,,,,41,3,0.5277090340000008,41,0.029920997999997923,48,3,0.14772169699999793,,,,46,3,0.1197661090000004
9,22,0.0056032260000016265,22,0,0.00747585399999906,22,0,0.005718809000001102,22,0,0.005493590000000381,22,0.00749229299999854,33,3,0.012832878000001102,22,0,0.005895956999999896,22,0,0.0075506580000030965
10,25,0.006012242000000612,25,3,0.04099830400000215,25,0,0.01930218400000072,25,0,0.015621206000002275,25,0.004193306000001229,33,4,0.012799762000000214,26,1,0.03181205299999945,26,1,0.007728383999999977
11,53,0.03448409199999958,,,,71,0,0.062342216000001116,53,1,0.16861279100000104,53,0.016878150000000147,66,5,0.10669822700000253,71,0,0.04312856499999995,72,5,0.14816444900000292
12,50,0.01947113099999953,50,11,0.6828747859999993,68,0,0.02533710200000172,68,0,0.0742437690000024,50,0.11846900200000121,76,10,0.6208021860000024,68,0,0.1850166350000002,83,9,0.9092922670000014
13,27,0.009254285999997336,27,0,0.010920615999999939,31,0,0.025570189999999826,31,0,0.028220411000003054,27,0.010629423999997556,27,0,0.01285207300000124,33,0,0.012978884999998996,33,0,0.015122803999997103
14,24,0.0077057660000008354,24,1,0.018622231999998462,30,0,0.00801100800000043,30,0,0.008061290000000554,24,0.007852320000001356,24,0,0.00871627899999794,24,0,0.24640840200000014,24,0,0.01579065600000007
15,45,0.019960996000001785,45,13,0.6330227939999986,,,,,,,45,0.0348852260000001,49,4,0.16276852300000044,48,3,0.2713976959999975,48,3,0.08979667400000224
16,41,0.00755841400000179,41,0,0.00845096800000178,87,0,0.06704350900000122,53,0,0.03276908400000167,41,0.03349061999999847,42,1,0.04800549800000198,47,0,0.3018667750000006,47,0,0.05517526599999911
17,52,0.035553260000000364,,,,76,0,0.14515672699999982,76,0,0.1533981159999982,52,0.02976715400000174,72,6,0.11004521399999945,80,0,0.05155253499999901,79,5,0.18377021999999954
18,27,0.01109919700000006,27,1,0.030626602999998198,,,,27,2,0.26708533500000087,27,0.009171479999999121,42,1,0.021924766000001483,29,0,0.06251878699999835,29,0,0.013073453000000512
19,46,0.020482898000000915,46,9,0.2556476879999998,84,0,0.31395657999999926,56,1,0.1754648759999995,46,0.035314728999999545,46,0,0.045937145999999984,49,1,0.18442391199999975,49,1,0.1083905129999998
20,8,0.0006271569999967141,8,1,0.0020247650000015938,8,1,0.0009853429999964192,8,1,0.0019452330000007123,8,0.0007045580000024643,8,0,0.0008311180000006857,8,0,0.00792437699999482,8,0,0.00309372000000252
21,11,0.0008486150000024395,11,0,0.0008651180000001091,11,0,0.0008704059999971037,11,0,0.0009801909999964664,11,0.0011837180000000558,11,0,0.001328072999996266,11,0,0.000990324999996517,11,0,0.001176866000001553
22,31,0.014180567000003919,31,2,0.26521476100000285,39,1,0.01402999599999788,39,1,0.019510345999997014,31,0.026462455000000773,31,0,0.0309049640000012,36,1,0.4989742100000001,36,1,0.045682387000006486
23,19,0.0072127050000005966,19,0,0.007799665000000289,19,0,0.0032441210000015985,19,0,0.0032683430000020053,19,0.007633040000001756,20,1,0.015108625999999958,19,0,0.003064412000000516,19,0,0.0035417650000013623
