,Base D* Path Length,Base D* Time,Opportunistic D* Path Length,Opportunistic D* # Replans,Opportunistic D* Time,Risk-Averse D* Path Length,Risk-Averse D* # Replans,Risk-Averse D* Time,Moderate Aversion D* Path Length,Moderate Aversion D* # Replans,Moderate Aversion D* Time,Base A* Path Length,Base A* Time,Opportunistic A* Path Length,Opportunistic A* # Replans,Opportunistic A* Time,Risk-Averse A* Path Length,Risk-Averse A* # Replans,Risk-Averse A* Time,Moderate Aversion A* Path Length,Moderate Aversion A* # Replans,Moderate Aversion A* Time
0,20,0.0029545699999999897,20,4,0.37979833399999996,20,2,0.05201658499999995,,,,20,0.006011533999999985,24,2,0.02036377800000011,24,2,0.04389493699999991,24,2,0.027072753999999977
1,11,0.002120628999999985,11,1,0.00485506400000002,11,1,0.042309084,11,1,0.042919871000000054,11,0.001667593999999939,11,0,0.002214906000000072,11,0,0.004894847999999952,11,0,0.004582933000000011
2,15,0.0015157009999999804,15,5,0.427378759,17,3,0.07353553800000001,15,3,0.1137731099999999,15,0.0034711569999998915,17,2,0.007671993999999849,22,3,0.01148474999999971,22,3,0.008377054999999967
3,54,0.039855965000000104,54,7,0.4534940220000001,72,4,0.19891864300000028,72,4,0.17433497499999984,54,0.105723346,92,14,1.4887584550000001,55,1,0.38082214099999945,55,1,0.27364404600000025
4,14,0.0019355770000002437,14,0,0.0029521130000000895,14,0,0.005639597000000052,14,0,0.005504226000000223,14,0.00048663499999967996,15,1,0.002354377000000518,14,0,0.002868142999999712,14,0,0.0013968839999991545
5,48,0.03512691099999987,48,8,0.4510466870000007,80,10,0.24251200599999923,80,10,0.17798173000000084,48,0.05101032700000019,63,7,0.6384768879999996,73,13,0.9218882729999995,73,13,0.9476218379999999
6,14,0.0014930549999991882,14,0,0.0017264849999989451,,,,22,1,0.03940098300000017,14,0.0030000109999992475,15,1,0.0038122500000010717,15,1,0.010634903000001472,15,1,0.007466850000000136
7,13,0.0016837920000014606,13,4,0.2896902819999987,13,1,0.05143247400000028,13,1,0.026905372999999955,13,0.0014860179999995893,13,0,0.0032539289999995447,20,3,0.018105647000000502,20,3,0.012172772999999637
8,37,0.009531253000000461,37,14,0.6689933310000011,49,3,0.14034057599999983,,,,37,0.035097602999998756,60,13,0.32492383700000005,40,3,0.14635590699999845,40,3,0.12365860499999926
9,37,0.014088295000000528,37,4,0.40520079300000056,37,0,0.40678569399999986,37,0,0.16343087899999986,37,0.01983115099999999,53,10,0.21582554999999992,38,1,0.06163357299999994,38,1,0.05708040500000067
10,10,0.0008370689999992464,10,4,0.006297674999999003,14,4,0.007894488999999894,10,4,0.015517338000000436,10,0.0009622740000008179,33,7,0.0024971160000006876,33,7,0.0030658410000015124,33,7,0.002448742999998643
11,40,0.01707448700000036,40,4,0.3066544800000006,40,1,0.32269794900000015,40,1,0.2198276039999989,40,0.021872780000000702,68,10,0.3586251239999996,41,1,0.10515604099999898,41,1,0.06021721800000002
12,57,0.024955030999999295,57,48,4.752953116000002,,,,,,,57,0.0494679600000012,,,,,,,,,
13,45,0.03779979199999772,45,9,0.4640774040000011,,,,,,,45,0.039057276999997725,77,12,0.6195865779999998,65,4,0.9330603010000011,65,4,0.5841879030000001
14,35,0.02056219299999995,35,15,0.6836765850000006,35,1,0.07060008899999914,35,1,0.06702936699999995,35,0.029296151000000492,43,4,0.05919877399999862,,,,,,
15,9,0.0006713480000009042,9,3,0.2643472770000024,9,1,0.01249049399999791,9,1,0.017586251999997415,9,0.0002932130000026234,10,1,0.000915224999999964,11,2,0.0022854089999988503,11,2,0.002398715999998302
16,54,0.028958081999999052,54,33,0.6608726500000017,88,10,0.4777177779999988,,,,54,0.043117543000001035,69,9,0.5171716570000022,72,8,0.7625910950000012,72,8,0.6302526979999996
17,38,0.025729332000000937,38,16,0.9229316609999998,,,,40,4,0.29711262600000055,38,0.041638314000000065,39,1,0.06476161999999874,42,2,0.149425707999999,42,2,0.11224839100000139
18,13,0.0011302610000001323,13,0,0.0011512939999995808,17,0,0.0025542529999995622,17,0,0.0026589199999982327,13,0.0010809609999995473,13,0,0.0015669000000002598,17,0,0.001500264000000584,17,0,0.0017470280000004834
19,41,0.01031133999999767,,,,,,,47,10,0.7665069649999978,41,0.023850400000000604,59,12,0.08635828999999973,65,14,0.35383337799999737,65,14,0.13153715900000407
20,,0.16384779799999905,,,,,,,,,,,5.462999999394924e-05,,,,,,,,,
21,20,0.0020901520000009555,20,3,0.02055706000000157,36,6,0.13941863299999824,36,6,0.0781521380000001,20,0.004192029999998681,32,6,0.022959317999998063,30,6,0.06823812300000043,30,6,0.0436737559999969
22,33,0.005893614000001435,33,10,0.569381405999998,49,1,0.3129678009999992,49,1,0.21543420399999746,33,0.018182252000002563,65,12,0.07879522599999689,64,11,0.20393987299999594,64,11,0.09839553500000164
23,43,0.017604325000000642,43,17,0.48799600999999626,43,10,0.17890910100000212,43,10,0.17531838200000038,43,0.04433997000000289,59,8,0.5922157800000036,44,1,0.12007271200000247,44,1,0.11172747799999883
24,45,0.019952384999996298,,,,47,7,0.3634314829999994,47,7,0.3036609700000028,45,0.08395784799999717,,,,,,,,,
25,51,0.023405236999998635,51,45,1.2893316639999952,63,9,0.20379610099999468,,,,51,0.03295639999999622,68,13,0.21145118499999427,64,9,0.23883411500000307,64,9,0.219528363000002
26,54,0.038345210999999324,54,61,2.1649271220000017,,,,,,,54,0.040444516000000874,109,23,0.805340569000002,100,18,0.8734273640000012,100,18,0.7691913049999997
27,25,0.0025102040000035686,25,1,0.02345861999999954,35,5,0.35262362099999933,35,5,0.23562527499999675,25,0.009892698999998117,25,0,0.018467510999997216,25,0,0.01896452599999776,25,0,0.019169329999996876
28,61,0.05000726100000463,61,37,0.6283257710000001,77,6,0.5858959680000027,77,6,0.5618544499999985,61,0.05064389900000066,85,12,1.3135336599999974,77,8,1.6204911649999971,77,8,1.4025432440000003
29,17,0.0020723350000011465,17,1,0.003214976999998953,21,3,0.09696831799999472,21,3,0.07424832200000253,17,0.0018905430000017986,17,0,0.004119244000001743,23,2,0.027335444000001985,23,2,0.020639320000000794
30,36,0.009680121999998903,36,9,0.45390603299999555,,,,40,9,0.40248168899999825,36,0.014932733000001974,46,4,0.042180855000005124,51,7,0.23112876799999782,51,7,0.16779145600000334
31,29,0.006182605999995872,29,3,0.3530275040000035,31,2,0.1120055949999994,29,2,0.0992613369999944,29,0.023311765999999068,62,13,0.18969747500000267,57,10,0.18220039999999926,57,10,0.14442748900000169
32,8,0.0007994039999985603,8,0,0.0010054139999979839,8,0,0.009650478000004625,8,0,0.005041521000002547,8,0.0006597880000001055,8,0,0.0007984510000014211,8,0,0.0024328610000026174,8,0,0.0014134549999980095
33,51,0.025252477999998746,51,19,0.47734676199999626,,,,,,,51,0.024985035000000266,74,13,0.46409861400000096,108,21,0.6023203459999991,108,21,0.5096375190000018
34,54,0.08168210600000236,54,14,0.47783258000001183,,,,,,,54,0.06017066799999782,100,22,1.1666275970000015,,,,,,
35,42,0.02629565499999842,42,27,0.5314731809999955,,,,,,,42,0.036372890999999186,,,,57,9,0.5721358899999984,57,9,0.5701400469999953
36,41,0.018933767999996576,41,10,0.4856228800000082,,,,,,,41,0.025358414999999468,55,6,0.2823639129999975,57,6,0.32205306200000905,57,6,0.31861001599999383
37,47,0.0388825149999974,47,18,0.508021063000001,,,,,,,47,0.05676542000000495,65,6,0.32599046800000053,,,,,,
38,56,0.03813219399999923,56,11,0.49832039400000383,60,15,0.34063354100000254,60,15,0.33566719699999226,56,0.06363727900000526,73,9,0.7955333929999995,68,12,1.7176718030000018,66,10,1.3392976599999997
39,49,0.03816301499999497,49,16,0.40958751200000165,53,6,0.5277948380000055,53,6,0.5165109299999955,49,0.028302934000009827,61,10,0.615248457000007,55,6,0.2506506799999926,54,3,0.10335045499999751
40,50,0.06082804599999747,50,6,0.5069034509999994,,,,,,,50,0.04522031800000548,79,9,0.3463590780000061,82,10,0.6291319460000011,82,10,0.5757243609999989
41,63,0.02212570000000369,63,76,2.2026932789999876,,,,,,,65,0.023695092000011186,110,23,0.6119210900000098,113,22,0.7026964199999952,112,21,0.6357502030000006
42,44,0.026869255999997677,44,13,0.43419553900000096,,,,,,,44,0.04407925999998952,59,9,0.7754339269999946,56,8,0.6237835370000084,59,9,0.8095294889999991
43,22,0.003592311000005566,22,3,0.28558885300000725,22,1,0.047818565000000035,22,1,0.036723890000004644,22,0.00884289799999749,68,10,0.04613837200000148,22,0,0.017437978000003795,22,0,0.016231347000001506
44,32,0.007801470000003974,32,11,0.3198236230000049,42,2,0.1419730540000046,42,2,0.09929383099999711,32,0.019142453000000614,40,6,0.15486800899999764,61,11,0.32855346899999915,61,11,0.25831781800000897
45,29,0.006963452999997344,29,13,0.38496399400000314,,,,,,,29,0.013034321999995768,36,5,0.05066588699999386,34,5,0.08138981699998737,34,5,0.06498114900000473
46,23,0.006472235999993359,23,10,0.38495537400000046,23,2,0.05617354299999988,23,2,0.04645845300001383,23,0.011782022000005554,24,1,0.028928636000003394,24,1,0.010125078999990933,24,1,0.010204424999997741
47,77,0.05421326399999771,77,82,4.2499956019999985,,,,,,,77,0.052476124000008895,,,,,,,,,
48,38,0.018386488999993844,38,3,0.4640072920000051,,,,,,,38,0.02653952600000764,54,8,0.16632266399999196,54,10,0.16517197000000294,54,10,0.15714980399999945
49,41,0.019028089000002524,41,19,0.4346614950000003,41,3,0.14103112800000872,41,3,0.09777205400000355,41,0.014864547000001949,48,7,0.11424584499999924,69,8,0.20683468999999377,69,8,0.16243876800000123
50,7,0.0006770589999973708,7,2,0.254927550000005,7,1,0.001688796000010484,7,1,0.00272744299999772,7,0.00045659200000613964,7,0,0.0005649080000011963,7,0,0.00023702100000377868,7,0,0.0002346370000054776
51,51,0.014098611999997956,51,24,0.9344048370000024,73,2,0.11808522899998763,73,2,0.12919322300000147,51,0.03134454899999639,160,33,0.6199040469999915,178,31,1.0057488350000057,178,31,0.6397811239999953
52,16,0.002221614999996291,16,11,0.35125548599999945,20,2,0.12195653300000231,20,3,0.05341708199999573,16,0.0012606469999951742,86,20,0.02256207800000709,86,20,0.1784276390000059,86,20,0.038813593000000424
53,,0.19019822399999953,,,,,,,,,,,2.688200000022789e-05,,,,,,,,,
54,18,0.004508069999999975,18,1,0.009099073999990992,40,3,0.0677366620000015,18,2,0.0708092229999977,18,0.005390275000010547,20,2,0.01816282000000058,18,0,0.013781867000005832,18,0,0.011314798000000792
55,,0.13147293400000137,,,,,,,,,,,4.710000000329728e-05,,,,,,,,,
56,24,0.005151694999995016,24,3,0.10213117700000396,30,4,0.15128898699998672,30,4,0.12974689000000694,24,0.008642412000000377,39,7,0.02014060400000517,38,6,0.03349024400000644,38,6,0.025569939999996905
57,72,0.11036442600000385,72,32,0.5947196540000022,,,,,,,72,0.11165107700000476,135,23,2.3608300490000005,91,9,2.227365309999996,91,9,2.0084038500000077
58,23,0.0028365910000047734,23,6,0.4246407199999851,25,3,0.03153444500000546,23,1,0.02668124400000238,23,0.009457867000008946,30,5,0.044541831999993065,25,2,0.024039310999995678,25,2,0.02250708100001475
59,5,0.00023943299999018564,5,1,0.0004641710000043986,5,1,0.0013943079999876318,5,1,0.001424170999996477,5,0.00011892300000226896,6,1,0.0003204049999965264,6,1,0.00047671200002241676,6,1,0.00044147299999508505
60,25,0.007052079000004596,25,1,0.026333246000007193,25,1,0.08168620099999657,25,1,0.06548796199999174,25,0.004768017999992935,46,11,0.09790688399999681,46,9,0.11065661500001056,46,9,0.10153073300000415
