,Base D* Path Length,Base D* Time,Opportunistic D* Path Length,Opportunistic D* # Replans,Opportunistic D* Time,Risk-Averse D* Path Length,Risk-Averse D* # Replans,Risk-Averse D* Time,Moderate Aversion D* Path Length,Moderate Aversion D* # Replans,Moderate Aversion D* Time,Base A* Path Length,Base A* Time,Opportunistic A* Path Length,Opportunistic A* # Replans,Opportunistic A* Time,Risk-Averse A* Path Length,Risk-Averse A* # Replans,Risk-Averse A* Time,Moderate Aversion A* Path Length,Moderate Aversion A* # Replans,Moderate Aversion A* Time
0,11,0.0008795809999999626,11,2,0.0037615789999999594,11,0,0.02896053300000001,11,0,0.01084744400000004,11,0.0004164359999999645,11,0,0.0018818590000000412,11,0,0.004679027000000002,11,0,0.0034527850000000138
1,25,0.0034878950000000186,25,3,0.31322608799999985,27,3,0.07886296299999995,,,,25,0.007936923000000151,35,6,0.01199134199999996,37,6,0.03971754399999994,37,6,0.015451740000000047
2,51,0.038211535999999935,51,6,0.45452755199999983,51,1,0.05320056300000009,51,1,0.14235503500000002,51,0.06471449100000015,64,7,0.3670276229999998,58,3,0.1821429969999997,58,3,0.371544949
3,23,0.005012132000000058,23,8,0.263318124,,,,23,5,0.1529150800000001,23,0.005917559999999877,23,0,0.011017798999999773,23,0,0.006790120999999871,23,0,0.006062433000000311
4,21,0.003590959999999921,21,4,0.2568275529999995,21,0,0.05352662900000027,21,0,0.011351039000000007,21,0.0033382060000004543,21,0,0.011626606000000095,21,0,0.002504380000000417,21,0,0.0077296530000001695
5,9,0.0006855049999998641,9,2,0.006216997000000113,9,0,0.0008631589999996692,9,0,0.0008583529999999229,9,0.000380373000000489,20,5,0.0014269099999992818,9,0,0.0003511610000002108,9,0,0.0003484999999994187
6,21,0.00440527000000035,21,3,0.320350554,25,3,0.1745822419999996,23,3,0.22680853400000078,21,0.0057481079999996965,27,4,0.037975538999999614,26,3,0.037135169999999995,26,3,0.03716275499999977
7,59,0.08047611900000007,59,11,0.682981624,,,,,,,59,0.043616114999999844,62,3,0.27218578499999957,71,6,0.2656458180000003,71,6,0.35157749200000055
8,53,0.02500670900000035,53,11,0.6931420560000001,57,1,0.02729251800000121,57,1,0.046343153999998776,53,0.02710119900000052,58,3,0.03813914999999923,57,0,0.30515296999999997,60,3,0.15759970000000045
9,36,0.01336257300000021,36,12,0.31254460699999953,44,1,0.3526379350000006,44,1,0.18497959199999947,36,0.01906486600000079,40,2,0.03461536300000034,39,1,0.05544299499999994,47,3,0.031896013999999084
10,15,0.0025064150000009278,15,5,0.24680761699999998,,,,,,,15,0.004506645999999392,16,1,0.00944930799999888,16,1,0.023925624999998618,16,1,0.01023331499999891
11,23,0.00211198100000054,23,0,0.0019101130000009903,37,0,0.21845663000000037,37,0,0.13674716099999884,23,0.005799552000000929,23,0,0.0066068839999999796,23,0,0.006126659999999617,23,0,0.005141659999999604
12,28,0.013203322000000739,28,5,0.38058134799999976,,,,,,,28,0.006705508999999665,35,3,0.05437283899999912,44,8,0.3111089859999989,44,8,0.1906205870000015
13,17,0.00226179200000054,17,1,0.00659226600000018,17,0,0.0051061140000001615,17,0,0.005452589999999091,17,0.004738702000000927,18,1,0.009983795000000129,17,0,0.029510409999998544,17,0,0.006966381999999882
14,42,0.031239724000000635,42,4,0.3908458079999999,42,2,0.37707583800000144,42,2,0.27547518499999946,42,0.02980236900000044,46,4,0.2085363729999994,47,3,0.27609042799999983,47,3,0.2102524540000008
15,79,0.08387004299999923,79,20,0.6006347240000007,79,3,0.3624071129999997,79,3,0.3244484209999996,79,0.06824957300000101,114,15,1.882011191000002,79,0,0.1990455649999987,79,0,0.16547987899999939
16,41,0.0049685119999978156,,,,,,,,,,41,0.008918003000001562,,,,,,,,,
17,36,0.013840697999999207,36,5,0.3168814040000001,,,,38,1,0.3214627859999979,36,0.022930488000000082,40,2,0.05536782799999784,41,1,0.149765912000003,41,1,0.06731021000000226
18,17,0.002538892000000459,17,2,0.26019536800000154,17,0,0.003997251000001256,17,0,0.003927728000000741,17,0.0027562560000014003,20,1,0.008133982000000373,17,0,0.016362141999998414,17,0,0.006420887000000874
19,42,0.019958684999998866,42,18,0.7419416380000001,66,1,0.11303768000000147,66,3,0.4739091600000016,42,0.009249930999999378,61,11,0.0831114659999983,61,11,0.6150982380000016,61,11,0.08637145800000212
20,50,0.03129139400000014,,,,,,,,,,50,0.05365304600000087,92,14,0.1269473259999998,92,14,0.587607429000002,93,15,0.21878860200000005
21,59,0.03516111499999752,59,35,3.7387574610000023,61,3,0.6032859589999973,61,3,0.474990855999998,59,0.06535179099999766,89,10,0.31136770700000227,90,11,0.9820994960000036,90,11,0.5443426530000011
22,44,0.026936564000003216,44,1,0.06357538200000334,,,,,,,44,0.02437935999999752,48,4,0.17734035799999504,52,0,0.10798669799999772,44,0,0.0445155700000015
23,56,0.04589907300000107,56,8,0.4020919140000032,60,2,0.3397191770000063,60,2,0.2747499660000017,56,0.07517582900000264,76,14,1.436228751999998,,,,64,4,1.1192346790000016
24,52,0.024077075000001003,,,,,,,62,6,0.320016901999999,52,0.05180088999999555,75,9,0.12040748999999806,72,8,0.21793380800000506,72,8,0.1441825050000034
25,57,0.08067947600000025,57,10,0.43723717299999976,109,5,0.5112161449999988,,,,57,0.057205017999997665,71,6,0.5158397569999948,72,5,1.1735135139999997,68,5,0.5927759289999983
26,40,0.01626016399999486,40,7,0.4280080770000012,80,8,0.3137639770000007,40,6,0.34882455700000037,40,0.02523401299999506,44,2,0.12061780500000197,48,4,0.7060787659999974,48,4,0.32752941100000044
