,norisk d* len,norisk d* t,opp path d* len,opp ctr d*,opp d* t,av path d* len,av ctr d*,av d* t,med path d* len,med ctr d*,med d* t,norisk a* len,norisk a* t,opp path a* len,opp ctr a*,opp a* t,av path a* len,av ctr a*,av a* t,med path a* len,med ctr a*,med a* t
0,45,0.029116527999999975,45,1,0.060591830000000124,67,2,0.06062630099999988,67,2,0.18818121999999993,45,0.030521983999999946,53,4,0.09090376300000003,69,0,0.764838302,51,2,0.10458698100000019
1,59,0.07911021000000007,59,8,0.503542366,71,1,0.0889870730000002,71,1,0.09560694099999978,59,0.057072602999999944,76,7,0.6883399079999997,71,0,0.078961214,75,6,0.5976477939999998
2,9,0.0006082040000006117,9,0,0.000581019999999377,9,0,0.0005975229999997111,9,0,0.0006253200000001513,9,0.0003537639999997566,9,0,0.0003696049999994955,9,0,0.00038552800000069,9,0,0.0003772980000000814
3,43,0.013176253000000138,43,0,0.017190209000000678,65,0,0.054238012999999974,65,0,0.058195581999999746,43,0.03393529399999995,47,2,0.04186419100000016,67,0,0.08295538700000016,47,2,0.06754324999999994
4,37,0.021698486000000017,37,1,0.05319534299999962,37,0,1.0061234940000006,37,0,0.05469311600000015,37,0.023846128000000633,44,3,0.11564137899999949,37,0,0.015430201000000032,37,0,0.032967694999999964
5,35,0.015036480000000019,35,3,0.6412734159999998,47,0,0.028701397999999934,47,0,0.02820031899999975,35,0.015039933000000616,52,5,0.041416078000000134,47,0,0.023476060000000132,38,1,0.030252123000000353
6,62,0.052495625999999795,62,3,0.6057559619999999,86,0,0.2656233589999992,86,0,0.26190556600000114,62,0.15290964699999954,68,6,0.8404663489999997,86,0,0.366274851,67,3,0.3803950159999996
7,83,0.13449491200000097,83,22,3.336444501999999,107,1,0.3597109800000009,107,1,0.39852960900000056,83,0.1597273089999991,111,10,1.0688846740000013,111,0,0.8676541170000007,111,10,1.7594458870000018
8,44,0.01969912499999893,44,11,0.32912937500000083,46,0,0.054453329000001105,46,0,0.05488721100000049,44,0.029880803999997596,47,1,0.04298460300000073,50,0,0.04942498299999798,46,0,0.05025132100000107
9,25,0.006691356999997566,25,1,0.021680375000002527,27,0,0.00506912699999873,27,0,0.005147079999996862,25,0.005742791999999497,27,2,0.008206469000000993,27,0,0.35667208500000314,27,0,0.016566841999999582
10,77,0.0621248329999986,77,17,2.1496542919999975,97,0,0.3562977570000001,97,0,0.3728199370000027,77,0.17022573899999927,,5,0.7274902740000009,101,0,0.34523215899999826,,4,0.603352546
11,54,0.030900973999997916,54,7,0.7608099619999997,58,0,0.04158241300000043,58,0,0.04121886100000083,54,0.04899476399999969,72,8,0.392041686999999,58,0,0.05507721000000032,55,1,0.14181726699999686
12,83,0.05676376699999963,,21,3.8507766640000014,113,1,1.4124639629999969,,4,0.5887530509999976,83,0.14634514200000126,,16,0.8423279049999977,136,9,3.8607019310000013,,9,1.0405890919999976
13,41,0.03211653599999664,41,0,0.03226643200000012,49,0,0.3023726420000017,49,0,0.033305100999996284,41,0.015427850000001797,41,0,0.01837990899999653,41,0,0.04180888100000146,41,0,0.022133566999997356
14,42,0.014395790999998326,42,6,0.4301490490000006,88,0,0.3610540869999994,88,0,0.34033311499999996,42,0.02568984700000243,46,2,0.10219585100000472,90,0,0.0799341130000002,46,2,0.12473477600000393
15,110,0.22882779799999753,,3,0.2689987160000058,146,0,1.5968974899999964,146,0,1.1224471449999953,110,0.1396956780000025,128,8,1.9272253520000007,148,0,0.5497441460000019,111,1,0.30233524199999806
16,40,0.00978966800000336,40,4,0.3085017920000013,96,0,0.7517490420000001,40,1,0.03449476199999424,40,0.032427114000000756,40,0,0.04057315899999736,40,0,0.05000285799999915,40,0,0.03529500399999819
17,96,0.20112085000000235,96,10,1.1763004860000024,138,1,0.47156332299999804,104,1,0.47677073600000597,96,0.14614918300000568,120,10,1.4906006410000003,138,0,0.27331634000000093,103,3,1.0764958410000034
18,42,0.022222612000000197,,2,0.2576720839999993,42,1,0.022373040999994487,42,1,0.0293596650000012,42,0.028542169000004947,48,2,0.04199516699999606,42,0,0.7650262280000035,42,0,0.05721927799999804
19,56,0.07062430500000261,56,6,0.5200627040000043,60,1,0.07811041299999744,60,1,0.11250076099999973,56,0.10652627700000039,74,10,0.9745090100000056,60,0,0.9279288740000027,,8,1.2262056539999975
